EMLO Letter ID Number,Year date,Month date,Day date,Standard gregorian date,Date is range (0=No; 1=Yes),Year 2nd date (range),Month 2nd date (range),Day 2nd date (range),"Calendar of date provided to EMLO (G=Gregorian; JJ=Julian, year start 1 January; JM=Julian, year start March, U=Unknown)",Date as marked on letter,Date uncertain (0=No; 1=Yes),Date approximate (0=No; 1=Yes),Date inferred (0=No; 1=Yes),Notes on date,Author,Author EMLO ID,Author as marked in body/text of letter,Author inferred (0=No; 1=Yes),Author uncertain (0=No; 1=Yes),Notes on Author in relation to letter,Recipient,Recipient EMLO ID,Recipient as marked in body/text of letter,Recipient inferred (0=No; 1=Yes),Recipient uncertain (0=No; 1=Yes),Notes on Recipient in relation to letter,Origin name,Origin EMLO ID,Origin as marked in body/text of letter,Origin inferred (0=No; 1=Yes),Origin uncertain (0=No; 1=Yes),Notes on Origin in relation to letter,Destination name,Destination EMLO ID,Destination as marked in body/text of letter,Destination inferred (0=No; 1=Yes),Destination uncertain (0=No; 1=Yes),Notes on Destination in relation to letter,Abstract,Keywords,Language(s),Incipit,Explicit,People mentioned,EMLO IDs of people mentioned,Notes on people mentioned,Original Catalogue name,Matching letter(s) in alternative EMLO catalogue(s) (self reference also),Match id number,Related Resource IDs [er = number for link to EMLO letter],General notes for public display,Editors' working notes,UUID,EMLO URL
100657,1697,2,3,1697-02-13,0,,,,JM,Feb. 3. 96,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"Westminster, London, England",400141,,1,0,,,,,0,0,,"Lister had been making contacts for Lhwyd for his journey to Scotland, including two secretaries of  state, and Lord Bradalbin of the Highlands. They informed him there were many persons who preach in the Highlands language in the morning and Scotch in the afternoon.  Lister longed to see Lhwyd's catalogue",,English,,,,,,"Lister, Martin",100657; 31709; 401171,1,900180; 938784,,,0f295eeb-dbe9-4b93-8b98-a911f66a6341,http://emlo.bodleian.ox.ac.uk/profile/work/0f295eeb-dbe9-4b93-8b98-a911f66a6341
100663,1699,,,1700-01-10,0,,,,JM,date cut off,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,,,,0,0,,,,,0,0,,"Lister reported that he would like to send Lhwyd a copy of his Journey to Paris and asked for directions on how to do so. He liked Lhwyd's dedicatory inscription, but thought it was more than he deserved. He was ready to publish Lhwyd's book but was waiting for John Ray's letter that had miscarried.",,English,,,,,,"Lister, Martin",100663; 31718; 401098,1,900191,"Lhwyd's Lithophylacii Britannici Ichnographia was published in 1699, and it does contain a fulsome dedication to Lister.  I have dated the letter from the date of Lister's Journey to Paris and Lhwyd's dedication.",,ed0b74e1-0e9d-4b74-a48d-00098fefc6dc,http://emlo.bodleian.ox.ac.uk/profile/work/ed0b74e1-0e9d-4b74-a48d-00098fefc6dc
100661,1699,1,28,1699-02-07,0,,,,JM,Jan. 28: 98,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"Westminster, London, England",400141,Westminster,0,0,,"Dolgellau, Gwynedd, Wales",400020,"Dol-Gelhey, Merionydhshire",0,0,,"Lister Lhwyd his latest donation to the museum was some books he brought out of France, and he would forward others to him in the spring. He reported that Lhwyd's book was well printed and illustrated with plenty of copies, and some will be sent to Monsieur Geoffrey in Paris for subscribers. Lister promised he would write to Budot to make sure that he received Lhwyd's letter.",,English,,,,,,"Lister, Martin",100661; 31716; 401141,1,100380; 900189,Goulding has this letter incorrectly dated as Jan. 21 1689.,,b0cc87f5-e704-4166-b281-7ae70730fca2,http://emlo.bodleian.ox.ac.uk/profile/work/b0cc87f5-e704-4166-b281-7ae70730fca2
100664,1700,1,7,1700-01-17,0,,,,JM,Jan 7. 99,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"Leatherhead, Surrey, England",400173,"Mr. Mitchell's Leatherhead, Surrey",0,0,,"Ballymoney, County Antrim, Northern Ireland, United Kingdom",400162,Mr: Clifords in Ballymenomy near Colerain in ye County of Antrim,0,0,,"Lister rejoiced that Lhwyd was well, and told him that for the sake of his own health, he moved to Surrey, breaking up the house at Old Palace Yard and leaving his goods with an apothecary, Mr. Broughton in Westminster; encouraged Lhwyd's visit to Brittany.",,English,,,,,,"Lister, Martin",100664; 401119,1,900194,,,2ac30ce0-3784-413a-8f1f-a0440d84e93c,http://emlo.bodleian.ox.ac.uk/profile/work/2ac30ce0-3784-413a-8f1f-a0440d84e93c
100669,1701,2,27,1701-03-10,0,,,,JM,Feb. 27: 1700/1701,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,,,,0,0,,"Oxford, Oxfordshire, England",400014,Museum at Oxford,0,0,,"Lister was sorry Lhwyd's journey to Brittany miscarried. He mentioned his own poor health, and mentioned he had written a commentary upon Sanctorius which had been in press the pasd six months.",,English,,,,,,"Lister, Martin",100669; 31720; 401142,1,100382; 900198,Lister is referring to his Sanctorii Sanctorii De statica medicina aphorismorum sectiones septem: cum commentario Martini Lister (1703).,,4f571128-f23c-400a-86f2-a8acd1b8d821,http://emlo.bodleian.ox.ac.uk/profile/work/4f571128-f23c-400a-86f2-a8acd1b8d821
100671,1702,2,16,1702-02-27,0,,,,JM,Feb 16. 1701,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Leatherhead, Surrey, England",400173,Leatherhead in Surrie,0,0,,,,,0,0,,"Lister asked Lhwyd if he could look for some manuscripts of Apicius's work on cookery in Oxford, as well as Robertellus' De vita Romanum",,English,,,,,,"Lister, Martin",100671; 31721; 401086,1,900200,,,91327258-6ccb-40c0-98a5-2ebe82b1c607,http://emlo.bodleian.ox.ac.uk/profile/work/91327258-6ccb-40c0-98a5-2ebe82b1c607
100674,1702,8,8,1702-08-19,0,,,,JM,Aug. 8. 1702,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,"Lister reported to Lhwyd that he was now at Epsom, Surrey where he hired a house by lease for seven years and where he proposed to end his days. He asked Lhwyd to look for Apicius manuscripts, and he characterized William Cole as a ""greedy wretch"" for not donating his museum before he died.",,English,,,,,,"Lister, Martin",100674; 31722; 401087,1,900201,,,0c41c791-21e4-4c00-9f5c-98cf52e08911,http://emlo.bodleian.ox.ac.uk/profile/work/0c41c791-21e4-4c00-9f5c-98cf52e08911
100677,1702,11,4,1702-11-15,0,,,,JM,Nov 4. 1702,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"London, England",1606,Glass house street [London],0,0,,"Oxford, Oxfordshire, England",400014,Museum at Oxford,0,0,,"Lister was writing from St. James Palace where he was attending Queen Anne and the prince, after which  he could return to Epsom, Surrey. He thanked Lhwyd for extracts from Apicius, and he sent more books as donations to museum. He included a list of manuscripts from Balliol College, Oxford that he wished to see.",,English,,,,,,"Lister, Martin",100677; 31725; 401117,1,100385; 900212,,,89f08200-d8b5-415d-aff6-c251d6c1264a,http://emlo.bodleian.ox.ac.uk/profile/work/89f08200-d8b5-415d-aff6-c251d6c1264a
100675,1702,9,10,1702-09-21,0,,,,JM,Sept 10. 1702,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,"Oxford, Oxfordshire, England",400014,Museum at Oxford,0,0,,"Lister thanked Lhwyd for searching for editions of the Apicius, some of which he remarked were very scarce.",,English,,,,,,"Lister, Martin",100675; 31723; 401143,1,900210,,,d60e5319-ad07-4d6e-82ed-3a2b66405bc2,http://emlo.bodleian.ox.ac.uk/profile/work/d60e5319-ad07-4d6e-82ed-3a2b66405bc2
100676,1702,10,6,1702-10-17,0,,,,JM,Octob. 6. 1702,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,"Oxford, Oxfordshire, England",400014,Museum at Oxford,0,0,,"Lister reported that he was in London with Tancred Robinson, and they both were diverted by Lhwyd's letter.  He was there to ""get a sight"" of Caspar Barthius' adversaria, and he wanted Lhwyd to get his underkeeper to transcribe it for him, particularly any material in it concerning Apicius.",,English,,,,,,"Lister, Martin",100676; 31724; 401144,1,900211,shelf mark for the Barthius in the Bodleian that Lhwyd transcribed: Casp. Barthius Adversar. Comment. Lib 60 Franc 162 B.7 ij Art,,fffcb8ac-618b-4b4a-a563-3f0eec58155e,http://emlo.bodleian.ox.ac.uk/profile/work/fffcb8ac-618b-4b4a-a563-3f0eec58155e
100681,1703,7,20,1703-07-31,0,,,,JM,Julie 20 1703,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,"Lister was glad to hear that the book Lhwyd mentioned is to go suddenly to press, and Lister promised to collect the subscriptions. Asked Lhwyd if he could get a friend to look up some more Apicius references.",,English,,,,,,"Lister, Martin",100681; 31726; 401088,1,900215,,,5917a7fc-3248-420a-8e1a-4fe4294d81d4,http://emlo.bodleian.ox.ac.uk/profile/work/5917a7fc-3248-420a-8e1a-4fe4294d81d4
100682,1703,9,7,1703-09-18,0,,,,JM,Sept. 7. 1703,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,"Oxford, Oxfordshire, England",400014,Museum at Oxford,0,0,,"Lister hoped Lhwyd was ""better of his headache"" and reported on his own health problems. Lister sent him two more subscribers for his book, and he thanked Lhwyd for his notes on Apicius. Lister asked Lhwyd to have the ""young Almanac maker"" leave out his name, as ""tis time enough when I am dead to be remembered.""",,English,,,,,,"Lister, Martin",100682; 31727; 401145,1,100387; 900216,,,f4a65470-2127-4601-8408-a6a1e63a5540,http://emlo.bodleian.ox.ac.uk/profile/work/f4a65470-2127-4601-8408-a6a1e63a5540
100684,1704,5,28,1704-06-08,0,,,,JM,May 28. 1704,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,"Lister reported his poor health, that he was glad to hear of Lhwyd's success in printing his first book, and he told Lhwyd he had to publish the Apicius by subscription, as no publisher thought it would be profitable enough. The book would not be finished until Michaelmas. Lister was happy to hear that Dr. Hick's Thesaurus was nearly finished and that the Ashmolean museum was increasing its stock. Lister promised would donate his edition of Apicius to the Ashmolean when it was done.",,English,,,,,,"Lister, Martin",100684; 31728; 401089,1,900217,,,39b4aae0-1584-4603-8ba4-3ad682639cbf,http://emlo.bodleian.ox.ac.uk/profile/work/39b4aae0-1584-4603-8ba4-3ad682639cbf
100721,1705,11,,1705-12-11,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,,,,0,0,,"Oxford, Oxfordshire, England",400014,Museum at Oxford,0,0,,"Lister rejoiced that Lhwyd finished his book which was in the press. The booksellers here in London were enraged at authors printing their own works and via subscription but could do little about it. He could not advise Lhwyd's friend about the study of medicine, other than to read the ancients, particularly Hippocrates, Celsus and Dioscorides.",,English,,,,,,"Lister, Martin",100721; 31755; 401158,1,100397; 900244; 936758,,,8b6c70d4-76de-4484-bd7b-cb899b1adb1d,http://emlo.bodleian.ox.ac.uk/profile/work/8b6c70d4-76de-4484-bd7b-cb899b1adb1d
100685,1705,9,30,1705-10-11,0,,,,JM,Sept. 30. 1705,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,"Oxford, Oxfordshire, England",400014,Museum in Oxford,0,0,,"Lister had a short meeting with Mr. Charlett, and reported he had been very ill in July with a fever and was still weak and languishing. Charlett reported that two books that Lister sent to the University from the booksellers were imperfect, and one of the two he wanted to give to Lhwyd.  Lister told Lhwyd how to get an exchange, and was glad to hear that Lhwyd's book was about 100 sheets printed.",,English,,,,,,"Lister, Martin",100685; 31729; 401146,1,900218,,,ac0c2f7d-f1ec-40ed-9ae5-79a4221b7a3c,http://emlo.bodleian.ox.ac.uk/profile/work/ac0c2f7d-f1ec-40ed-9ae5-79a4221b7a3c
100686,1707,,,1708-01-11,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,,,,0,0,,,,,0,0,,Lister gave Lhwyd advice concerning Standfast's plans to do a new Latin edition of Coelius Aurelianus.,,English,,,,,,"Lister, Martin",100686; 31754; 401104,1,900225; 937074,"Standfast thanked Lister for his advice in a letter of March 26, 1707 and Lister discussed it again with Lhwyd in July 14 1707, so this letter should date from about 1707.",,4d9c4175-247e-4e4e-bc45-82aee9172c09,http://emlo.bodleian.ox.ac.uk/profile/work/4d9c4175-247e-4e4e-bc45-82aee9172c09
100687,1707,5,26,1707-06-06,0,,,,JM,May 26. 1707,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,0,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,"Oxford, Oxfordshire, England",400014,Museum at Oxford,0,0,,"Lister was happy to see that Lhwyd's book was getting printed and congratulated him, and noted that he had seen advertisement of his book in the newspaper.  Lister enclosed a bill, which was the remainder of his subscription for six books, and asked if he could send them to Dr. [Tancred] Robinson.",,English,,,,,,"Lister, Martin",100687; 31730; 401147,1,900219,In Lhwyd's writing on the wrapper: paid in receipt of your bill 1.1.6,,17c6f63c-2538-4bdc-ac23-dcd4a568f4fa,http://emlo.bodleian.ox.ac.uk/profile/work/17c6f63c-2538-4bdc-ac23-dcd4a568f4fa
100689,1707,7,14,1707-07-25,0,,,,JM,July 14. 1707,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Eps[om],0,0,,,,,0,0,,"Lister congratulated Lhwyd on the publication of his book, and he discussed the publication plans of Lhwyd's friend ""Mr. Standfast"" and his opinion about the involvement of Almeloveen.",,English,,,,,,"Lister, Martin",100689; 31731; 401090,1,900220,,,6f194ff6-dac1-4cc8-a367-b45e478434bb,http://emlo.bodleian.ox.ac.uk/profile/work/6f194ff6-dac1-4cc8-a367-b45e478434bb
100691,1707,12,29,1708-01-09,0,,,,JM,Dec 29. 1707,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,Lister reported that he was delighted to read in the Phil. Trans. the review of Lhwyd's book. Lister had not answered Lhwyd's desires at court due to illness that has kept him to his chamber.,,English,,,,,,"Lister, Martin",100691; 31733; 401092,1,100389; 900223,,,c3e58384-a8f2-4f95-b0a7-69ece6fd34c0,http://emlo.bodleian.ox.ac.uk/profile/work/c3e58384-a8f2-4f95-b0a7-69ece6fd34c0
100690,1707,8,15,1707-08-26,0,,,,JM,Aug 15. 1707,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,"Lister discussed his attempts to meet with ""Richard Floid"", a relative of Lhwyd's who lived near Epsom, Surrey. Lister saw the Lhwyd family portraits. He mentioned that the court granted Flamsteed £800 to print his star chart.",,English,,,,,,"Lister, Martin",100690; 31732; 401091,1,900221,,,e797fd3f-4219-4235-b9b4-9c28639604a7,http://emlo.bodleian.ox.ac.uk/profile/work/e797fd3f-4219-4235-b9b4-9c28639604a7
100693,1708,1,19,1708-01-30,0,,,,JM,Jan 19. 1707,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,"Lister reported that he had been five years at court, and had not received any favour for himself or his family, so he doesn't think he could help Lhwyd gain any favours either.  He mentioned a quarrel he had with a Lord over a book that the Lord claimed Lister did not return. Another Lord quarrelled with him because he recommended a steward to him that he did not like. Lister discussed the satire of his book.",,English,,,,,,"Lister, Martin",100693; 31734,1,100390; 900226,,,4eaf8b09-2d83-4cb6-8b54-77cb635b65c3,http://emlo.bodleian.ox.ac.uk/profile/work/4eaf8b09-2d83-4cb6-8b54-77cb635b65c3
100722,1708,,,1709-01-11,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,,,,0,0,,,,,0,0,,"Lister reported that he had not seen an edition of Langius, but would like to peruse one. He mentioned that he was languishing of a cough and shortness of breath.  He mentioned he had talked to Dr. Bason, and to the Bishop of Oxford on Lhwyd's behalf. Lister complained about his own work being satirized and the Newtonian physicians who base all their work on mathematics.",,English,,,,,,"Lister, Martin",100722; 31756; 401105,1,100398; 900243; 936762,,,93c27df1-fa3c-4422-86b1-7613b6315043,http://emlo.bodleian.ox.ac.uk/profile/work/93c27df1-fa3c-4422-86b1-7613b6315043
100694,1708,1,,1708-02-11,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,,,,0,0,,,,,0,0,,"Concerned two enclosed letters Lister had received since he had written to Lhwyd. The first contained answers to his queries and concerns a manuscript, mostly in Welsh of Mr. Humphrey Lhwyd, the antiquary. The family pedigree was of particular interest to Lhwyd, and Lister arranged for an engraving to be done of one of Lhwyd's relatives. The other considered the publishing designs of one of Lister's acquaintances. Lister apologized for being of no use to Lhwyd at court where he considered himself a stranger.",,English,,,,,,"Lister, Martin",100694; 31735; 401097,1,900227; 936628,"The enclosed letters are no longer extant.  From the context of Lhwyd asking Lister for favours at court in another letter of this month, I have assigned a tentative date.",,27124da7-27c6-4bea-9f5c-202de270c057,http://emlo.bodleian.ox.ac.uk/profile/work/27124da7-27c6-4bea-9f5c-202de270c057
100697,1708,12,8,1708-12-19,0,,,,JM,Dec 8. 1708,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,"A vague letter, stating: ""I send you the inclosed, yet you may know how to manage the B. inforst [enforced] for you. Pray be verie silent and indifferent about it for he is a man of honour, & will do you all ye service it is fitting for him to doe; and will be more your friend, than he appears. I had good trial of him formerlie.""",,English,,,,,,"Lister, Martin",100697; 31736; 401095,1,900228; 936659,,,a46508f7-f30e-4aea-9f59-12ac422e701f,http://emlo.bodleian.ox.ac.uk/profile/work/a46508f7-f30e-4aea-9f59-12ac422e701f
100700,1709,2,24,1709-03-07,0,,,,JM,Feb. 24. 1708,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,"Lister told Lhwyd that he was not acquainted with any of the college fellow he mentioned, as he had not been to the college or Gresham College for many years. He reported that he received a very civil letter from Dr. Sharon regarding Lhwyd. Lister asked Lhwyd to let him borrow the volume of Langius when he was done with it",,English,,,,,,"Lister, Martin",100700; 31737; 401094,1,900229; 936671,,,d5d2dd43-174d-497a-9119-d679bb358ece,http://emlo.bodleian.ox.ac.uk/profile/work/d5d2dd43-174d-497a-9119-d679bb358ece
100702,1709,4,7,1709-04-18,0,,,,JM,Apr. 7. 1709,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,"Epsom, Surrey, England",400202,Epsome,0,0,,,,,0,0,,"Lister hoped that plans for Lhwyd to get a new position were successful. He advised Lhwyd to visit the Bishop at the first opportunity, who happened to be Lister's nephew. Lister said William King, satirist of his work, had daily become ""more odious to mankind by his impudence and nonsense."" He recommended Lhwyd look at Monthly Miscellanies. Lastly, Lister remarked, ""I dailie go out now with the butterflies, which is a great comfort to me to have lived to see warmer weather once more.""",,English,,,,,,"Lister, Martin",100702; 31739; 401096,1,900231; 936680,,,8b9b48cc-dbb0-478a-8bab-54be5ef30791,http://emlo.bodleian.ox.ac.uk/profile/work/8b9b48cc-dbb0-478a-8bab-54be5ef30791
500097,,3,,9999-03-31,0,,,,,[perhaps March],0,0,0,,"Aubrey, John",400011,,0,0,,"Lhwyd, Edward",400144,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",,,,"Answered by EL-JA, 0000-04-03; Mentioned Bodl. Aubrey 12. 243",,e2f575d1-f0d7-404d-8b00-3156a61c87de,http://emlo.bodleian.ox.ac.uk/profile/work/e2f575d1-f0d7-404d-8b00-3156a61c87de
100727,,,,9999-12-31,0,,,,JM,n.d.,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lhwyd, Edward",400144,,1,0,,,,,0,0,,,,,0,0,,"This is a wrapper for a letter only in Lister's handwriting, postmark IA/23",,English,,,,,,"Lister, Martin",,,900236,Wrapper,,645a2e7d-6a75-41f1-8764-e0eed6830908,http://emlo.bodleian.ox.ac.uk/profile/work/645a2e7d-6a75-41f1-8764-e0eed6830908
500096,,1,27,9999-01-27,0,,,,,yours of ye 27.,0,0,0,,"Aubrey, John",400011,,0,0,,"Lhwyd, Edward",400144,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",,,,"Answered by EL-JA, 0000-02-27; Mentioned Bodl. Aubrey 12. 260",,b698348c-c23b-4ca2-969b-41a8517a3e50,http://emlo.bodleian.ox.ac.uk/profile/work/b698348c-c23b-4ca2-969b-41a8517a3e50
500095,,,,9999-12-31,0,,,,,[uncertain],0,0,0,,"Aubrey, John",400011,,0,0,,"Lhwyd, Edward",400144,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",,,901307,"Answered by EL-JA, 0000-00-00; Mentioned Bodl. Aubrey 12. 262",,909d04c3-f967-4acd-98e7-15e3498e7a2c,http://emlo.bodleian.ox.ac.uk/profile/work/909d04c3-f967-4acd-98e7-15e3498e7a2c
500098,,3,5,9999-03-05,0,,,,,March ye 5th:,0,0,0,,"Aubrey, John",400011,,0,0,,"Lhwyd, Edward",400144,,0,0,,"Llantrithyd, Glamorgan, Wales",301,,0,0,,"Jesus College, University of Oxford, Oxford, Oxfordshire, England",400012,at his Chamber | in Jesus Colledge | Oxford,0,0,,,,,,,,,,"Aubrey, John",,,901266; 937497,"Reply to EL-JA, 0000-02-25",,3f6494a1-3319-4c79-9450-da204384d662,http://emlo.bodleian.ox.ac.uk/profile/work/3f6494a1-3319-4c79-9450-da204384d662
500100,,11,5,9999-11-05,0,,,,,No: ye 5th.,0,0,0,,"Aubrey, John",400011,,0,0,,"Lhwyd, Edward",400144,,0,0,,"Llantrithyd, Glamorgan, Wales",301,,0,0,,,,,0,0,,,,,,,,,,"Aubrey, John",,,901306; 937501,,,d02e7631-bbb2-4f0e-98ac-183c73006ec0,http://emlo.bodleian.ox.ac.uk/profile/work/d02e7631-bbb2-4f0e-98ac-183c73006ec0
500099,,3,26,9999-03-26,0,,,,,March ye 26th:,0,0,0,,"Aubrey, John",400011,,0,0,,"Lhwyd, Edward",400144,,0,0,,,,,0,0,,"Jesus College, University of Oxford, Oxford, Oxfordshire, England",400012,"at his | Chamber, at Jesus Colledge in | Oxford",0,0,,,,,,,,,,"Aubrey, John",,,901305; 937745,,,6dece829-2140-49aa-82dc-184854d095b4,http://emlo.bodleian.ox.ac.uk/profile/work/6dece829-2140-49aa-82dc-184854d095b4
600933,1679,9,25,1679-10-05,0,,,,JM,Sep. 25. 1679.,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Liddell, Henry",600128,,0,0,,"Oxford, Oxfordshire, England",400014,Oxford,0,0,,"Austin Friars, London, England",1289,"These for the Worptt. [???] Henry Liddal Esquire at Mr Ki_x000e_ns house in Austin friers, in London.",0,0,,,,English,,,,,,"Wallis, John",,,,,,1853ab06-6a59-42da-ad4e-420380ca69aa,http://emlo.bodleian.ox.ac.uk/profile/work/1853ab06-6a59-42da-ad4e-420380ca69aa
600934,1679,11,20,1679-11-30,0,,,,JM,Novemb. 20: 1679.,0,0,0,,"Wallis, John (Dr)",600059,,0,0,,"Liddell, Henry",600128,,0,0,,"Oxford, Oxfordshire, England",400014,Oxford,0,0,,"Newton Hall, Pity Me, Durham, County Durham, England",900124,"For the Worptt[?] Henry Liddell Esquire, at Newton(?) near Durham.",0,0,,,,English,,,"Pawling, Robert; Waldo, Edward (Sir)",600198; 600285,,"Wallis, John",,,,,,4c95c0de-4dcd-4a00-a984-11ad530ecd74,http://emlo.bodleian.ox.ac.uk/profile/work/4c95c0de-4dcd-4a00-a984-11ad530ecd74
958523,1674,12,17,1674-12-27,0,,,,JJ,Decemb. 17. 1674,0,0,0,,"Oldenburg, Henry",4830,,0,0,,"Line, Francis",901898,,0,0,,"London, England",1606,,0,0,,,,,0,0,,,,English,,,,,,"Oldenburg, Henry",,,,,,095f7044-7aaa-41a3-923b-5c4d39be210c,http://emlo.bodleian.ox.ac.uk/profile/work/095f7044-7aaa-41a3-923b-5c4d39be210c
960429,1675,11,18,1675-11-28,0,,,,JJ,,0,0,0,,"Oldenburg, Henry",4830,,0,0,,"Line, Francis",901898,,0,0,,,,,0,0,,,,,0,0,,,,,,,,,,"Oldenburg, Henry",,,,,,28e34a8b-6c16-4118-9149-6ee7b695080b,http://emlo.bodleian.ox.ac.uk/profile/work/28e34a8b-6c16-4118-9149-6ee7b695080b
100598,1683,7,17,1683-07-27,0,,,,JM,July 17,0,0,0,,"Lister, Martin",13473,,0,0,physician and naturalist,"Lister, Hannah",100115,,0,0,,"Bath, Somerset, England",400103,Bath,0,0,,"York, North Yorkshire, England",300202,Lendall Street in Yorke,0,0,,"Lister told his wife Hannah of his journey to Bath with his sister Jane and with Francis Place. He sent home a box of colours in oil for his daughters to paint with, and he pleaded with Hannah to be merry in his absence.",,English,,,,,,"Lister, Martin",,,100361,"The date would be 1683, as there are other sources confirming this is when he made his trip to Bath",,141dfa48-5d17-4d49-871f-8fea653bc108,http://emlo.bodleian.ox.ac.uk/profile/work/141dfa48-5d17-4d49-871f-8fea653bc108
100771,1660,1,10,1669-01-20,1,1669,1,10,JM,January the 10,1,0,0,,"Lister, Susanna",100131,,0,0,mother,"Lister, Martin",13473,,0,0,,"Burwell, Lincolnshire, England",100028,,1,0,,"Cambridge, Cambridgeshire, England",400060,,1,0,,"Susanna Lister had deferred writing to give Martin a venison pie. She mentioned her daughter Francis Jennings was in France and that  ""daughter Hamilton"" has been brought to bed of a still-born son",,English,,,,,,"Lister, Martin",,,971455,"This letter dates from the 1660s, as Lister received his fellowship in 1660 and stayed at St. John's until 1668.",,2081fea0-9cf8-4a22-b5c7-686d55bd6d5b,http://emlo.bodleian.ox.ac.uk/profile/work/2081fea0-9cf8-4a22-b5c7-686d55bd6d5b
100826,1662,10,17,1662-10-27,0,,,,JM,8ber 17-62.,0,0,0,,"Newcomen, Thomas",100148,,0,0,"rector of Clothall, formerly of St. John's, Cambridge","Lister, Martin",13473,,0,0,,"Clothall, Hertfordshire, England",100104,Clothall [Hertfordshire],0,0,,"Cambridge, Cambridgeshire, England",400060,St. John's Coll. In Cambr.,0,0,,apologized for not being at home when Lister called,,English,,,,,,"Lister, Martin",100826; 35337,1,901412; 971265,,,1b555111-1e42-44d4-9bbd-00dd644b0095,http://emlo.bodleian.ox.ac.uk/profile/work/1b555111-1e42-44d4-9bbd-00dd644b0095
